"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,3.00039872733008,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",43.6826219560878,43.4927,42.8235890870976,1002,0.95,30.803,55.3899,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.000932557570761477,0.0009681605,0.0017006517331563,1002,0.95,-0.00910632,0.0105011,NA,NA,NA,NA,NA,NA,NA
"beta[2]",1.04358780463074,1.045835,1.18712711413293,1002,0.95,-1.96558,4.00423,NA,NA,NA,NA,NA,NA,NA
"beta[3]",1.04342452246507,1.02383,0.940492490198121,1002,0.95,-1.80046,3.90958,NA,NA,NA,NA,NA,NA,NA
"beta[4]",1.11379273637725,1.106615,0.973123032741758,1002,0.95,-0.704466,2.6277,NA,NA,NA,NA,NA,NA,NA
"beta[5]",1.50805349361277,1.489785,1.4457302416302,1002,0.95,0.601903,2.3559,NA,NA,NA,NA,NA,NA,NA
"sigma",45.6189281437126,45.40925,45.1383722465761,1002,0.95,41.0098,50.2055,NA,NA,NA,NA,NA,NA,NA
"zbeta0",8.06089936127744,8.066515,8.07787853114612,1002,0.95,7.67174,8.41947,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.0968069511712575,0.1005025,0.176543006464421,1002,0.95,-0.945309,1.0901,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.168587201454092,0.16895,0.191775076247412,1002,0.95,-0.317532,0.646867,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.121346690292415,0.1190675,0.10937598147637,1002,0.95,-0.209388,0.45467,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",0.191861408842315,0.1906255,0.167629242966444,1002,0.95,-0.121351,0.452646,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.117434364021956,0.116012,0.112581136561688,1002,0.95,0.0468711,0.183458,NA,NA,NA,NA,NA,NA,NA
"zsigma",8.16586384231537,8.128335,8.07984787835945,1002,0.95,7.34081,8.98686,NA,NA,NA,NA,NA,NA,NA
"nu",83.3616984031936,76.357,63.9779205261929,1002,0.95,22.9852,160.203,NA,NA,NA,NA,NA,NA,NA
"pred",51.0380260479042,51.05225,50.9540291183739,1002,0.95,46.8557,54.9076,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.87356275158346,1.88284853764622,1.92829370008963,1002,0.95,1.45656643049409,2.25919475616686,NA,NA,NA,NA,NA,NA,NA
